PC1,PC2,cluster,label
-2.594501665408501,-2.7423296254623106,3,1
6.672346669429199,-1.413733781117316,2,0
-3.4780182722446993,-1.1520094113462338,3,1
-0.6500228227940431,1.1772678374488115,0,4
7.543952232572742,-1.7612554580532012,2,0
1.912744759500639,0.7560386732757481,2,0
-2.6365581389146104,1.82280993740457,0,7
-0.44854190849484593,-0.08143652598109624,1,3
1.3734623624778348,0.5528169213984523,1,5
1.166248816297883,-3.166353429539313,1,3
1.0340334948447996,1.540431047428388,0,8
-1.2020695168665436,1.3795954901673648,0,9
-3.7869630210047807,-1.4072056174529202,3,1
-0.055177900506971064,-1.0176048495098111,1,3
1.9612079022498328,-2.5273689026676034,1,3
-3.782129815618704,-1.1074392885159006,3,1
-0.010280862624661673,-2.6188502639141404,1,2
3.8410472347841553,-0.9779467477136636,2,0
-2.4981064215721864,1.3765037666894764,0,7
3.7886536635716523,-1.6921606456949727,2,5
-0.9397420797402297,-0.9596158578431655,1,8
0.736733867269658,-0.35315023611401125,1,6
-0.1449239177708125,-4.887473383078666,1,2
5.163993647016034,-1.2378113631286882,2,0
-1.2371814351209656,-2.0599790111840015,3,2
0.9656318605738469,-3.285699939579981,1,3
0.15051276543781403,1.4523399809462214,0,6
-2.3955579960851954,-0.133099396854627,3,9
-1.8239625540605064,2.743117796767176,0,9
-0.15393790845102737,3.7977073337031193,0,7
-1.3391741142177926,-0.798428012357734,3,8
-0.5122196823401404,2.1974411379135175,0,9
1.8054866102572928,2.3148949775968477,0,4
-0.5181395309851795,3.429224938065282,0,9
-1.0926849504627265,1.3592272454842607,0,2
-2.5361681240276317,-0.7360967198253451,3,1
-1.0654879904542112,-0.9036388807397994,3,3
-3.452082811574269,-2.502477390430946,3,1
-3.621688648523843,-2.576332800215847,3,1
-0.7046351931680993,3.2075792138050545,0,4
-0.4576373696079505,-0.5995344171618745,1,9
-3.5279323873590878,-1.812824848279259,3,1
1.219923041344512,3.063069366024666,0,4
0.5479579348099521,1.9070908301207856,0,4
-1.6343490506063758,0.02824780250183033,3,2
0.39235629930738286,-0.2364530794217365,1,6
-1.0692127329173706,-1.152286892807968,3,3
-1.7580243155839215,2.526100360271677,0,7
-1.7727392159040192,1.0921445155219718,0,7
1.0228332556764739,4.1086523409658415,0,4
-1.874066859496788,1.9909873545397494,0,7
3.410666536790213,-2.2313054031848374,2,5
-3.564836675855111,-1.6637494779195616,3,1
-0.32292959585089437,1.8293114082919013,0,9
5.918648488894273,-1.7764898824032054,2,0
-2.382526702874471,0.546205000338657,3,2
-1.885462156511773,-1.281004230810872,3,2
0.6746862684136051,-1.5780081564726904,1,3
-2.1889607797747397,1.5094411163120736,0,9
-3.697382077728295,-1.8383239031237737,3,1
-1.3547389946106434,-0.9741350813955572,3,1
-1.9568797147401802,-0.9881380414246302,3,1
0.6736030178052952,3.3853939624261287,0,5
3.44084420926654,0.43939668259424325,2,0
2.4450828217806326,1.3329909581325048,2,6
-1.4915247091073056,-2.2043196995424506,3,3
0.46502620173860676,3.6542129777567536,0,4
